date,staff,customer_code,customer_name,activity,next_action
2026-06-02,田中,0001,青葉商事,見積条件の確認,金額修正
2026-06-01,佐藤,0002,中央工業,定期訪問,来月再訪問
2026-06-01,田中,0001,青葉商事,新商品の提案,見積提出
2026-06-02,鈴木,0003,東西建設,現場状況の確認,図面確認
2026-06-03,佐藤,0002,中央工業,,活動内容未入力
2026-06-03,鈴木,,未登録顧客,電話問い合わせ,顧客コード確認
2026-06-04,田中,0001,青葉商事,再見積の送付,回答待ち
2026-06-04,佐藤,0004,北川設備,初回訪問,会社案内送付
2026-06-05,鈴木,0003,東西建設,追加要望の確認,見積作成
2026-06-05,田中,0005,南部産業,休眠先への挨拶,反応待ち
2026-06-06,佐藤,0002,中央工業,追加資料の送付,回答待ち
2026-06-06,鈴木,0003,東西建設,見積提出,来週確認
2026-06-04,鈴木,0003,東西建設,　,全角スペース活動内容
2026-06-04,佐藤,   ,スペース顧客,訪問,半角スペース顧客コード
